basename,label,ra,dec,snr,resource,dataset
spec-6587-56537-0880,A,351.22636,28.215835,28.21617,sdss,train
spec-1715-54212-0555,A,225.23248,9.9592716,51.60302,sdss,train
spec-0598-52316-0630,A,181.65823,65.236291,24.76932,sdss,train
spec-2874-54561-0134,A,169.5932,-12.623964,13.51568,sdss,train
spec-2569-54234-0085,A,162.42121,-1.187391,9.767594,sdss,train
spec-2084-53360-0046,A,130.0867,21.14994,35.84785,sdss,train
spec-2185-53532-0105,A,250.76481,36.17126,40.85226,sdss,train
spec-1910-53299-0169,A,344.64032,-10.072631,19.6857,sdss,train
spec-2330-53738-0340,A,126.5732,25.105117,15.34803,sdss,train
spec-2444-54082-0116,A,40.326799,27.538228,6.537248,sdss,train
spec-2825-54439-0144,A,18.11341,15.283736,11.93658,sdss,train
spec-1961-53299-0231,A,322.87546,-0.610698,21.47724,sdss,train
spec-2184-53534-0132,A,271.91038,23.033147,48.48156,sdss,train
spec-2601-54144-0017,A,192.87099,16.752752,9.708426,sdss,train
spec-2060-53706-0036,A,20.430381,25.302265,7.81006,sdss,train
spec-0336-51999-0076,A,192.27369,-2.2828283,9.955091,sdss,train
spec-2820-54599-0138,A,263.4256,43.319316,14.09465,sdss,train
spec-1790-53876-0074,A,192.05242,7.1195129,35.03503,sdss,train
spec-1394-53108-0297,A,212.59268,43.030977,41.31367,sdss,train
spec-2180-54613-0310,A,251.94049,23.262669,68.50977,sdss,train
spec-6442-56369-0852,A,165.34906,33.071868,23.0388,sdss,train
spec-2166-54232-0615,A,235.7186,21.83737,41.42014,sdss,train
spec-7258-56605-0703,A,100.80133,0.85303498,27.41454,sdss,train
spec-2394-54551-0277,A,167.78265,58.899224,66.18863,sdss,train
spec-2943-54502-0605,A,108.60051,40.279431,29.16166,sdss,train
spec-2355-53792-0205,A,160.90086,24.098766,9.834496,sdss,train
spec-0820-52405-0582,A,255.00573,37.695481,41.85246,sdss,train
spec-1987-53765-0458,A,192.33683,34.899806,37.33086,sdss,train
spec-1153-52933-0201,A,328.25632,-0.65552,7.777461,sdss,train
spec-3128-54776-0285,A,338.98674,12.956265,89.37999,sdss,train
spec-2280-53680-0345,A,130.75623,20.94704,13.4171,sdss,train
spec-6113-56219-0792,A,3.07492969999998,11.357243,19.72694,sdss,train
spec-2781-54266-0225,A,230.58363,16.150784,10.84073,sdss,train
spec-2851-54485-0059,A,30.629859,-0.750659,30.91294,sdss,train
spec-2943-54502-0542,A,107.68763,39.703696,40.07713,sdss,train
spec-1894-53240-0523,A,355.97805,16.06593,43.02853,sdss,train
spec-2403-53795-0164,A,146.03875,61.810103,39.6712,sdss,train
spec-1911-53295-0317,A,343.5047,-9.879831,9.084243,sdss,train
spec-1501-53740-0196,A,21.782375,-0.77301126,25.21786,sdss,train
spec-0571-52286-0569,A,148.50894,4.8515804,56.91068,sdss,train
spec-4279-55508-0405,A,356.54539,2.4658692,11.41615,sdss,train
spec-2868-54451-0615,A,157.52714,18.502465,12.98468,sdss,train
spec-2441-54065-0592,A,47.476602,37.940544,68.94524,sdss,train
spec-3246-54939-0102,A,177.41176,5.9068155,9.055525,sdss,train
spec-7138-56572-0725,A,352.82168,33.650702,6.942325,sdss,train
spec-2923-54563-0420,A,192.22831,50.68985,21.85502,sdss,train
spec-3122-54821-0522,A,35.594071,-7.5034256,20.35044,sdss,train
spec-6504-56540-0770,A,347.00153,32.798897,5.01525,sdss,train
spec-2943-54502-0586,A,108.35267,39.852209,38.80368,sdss,train
spec-0364-52000-0535,A,246.62795,0.99725138,46.04179,sdss,train
spec-7732-58108-0404,A,25.204547,32.277677,28.0391,sdss,train
spec-3291-54939-0476,A,253.34573,41.839521,8.53897,sdss,train
spec-0834-52316-0212,A,143.43502,46.554873,38.02364,sdss,train
spec-2802-54326-0064,A,282.33932,78.299014,52.21883,sdss,train
spec-3181-54860-0418,A,180.59628,31.956033,19.86186,sdss,train
spec-2579-54068-0502,A,143.0795,15.466453,6.627534,sdss,train
spec-1908-53239-0154,A,311.1051,-0.373669,20.81807,sdss,train
spec-3307-54970-0100,A,200.51177,-1.2720326,15.42772,sdss,train
spec-6626-56330-0422,A,204.35037,41.913562,7.695767,sdss,train
spec-1259-52931-0384,A,94.597151,1.3699716,41.34534,sdss,train
spec-2620-54339-0365,A,335.0016,40.711218,38.14334,sdss,train
spec-4995-55739-0956,A,262.61564,36.803062,18.60806,sdss,train
spec-2462-54561-0356,A,212.42886,56.541504,13.76734,sdss,train
spec-2906-54577-0410,A,212.47154,37.858529,77.38231,sdss,train
spec-5157-55923-0668,A,130.59725,53.395558,28.97594,sdss,train
spec-1281-52753-0329,A,196.48039,50.414144,8.607949,sdss,train
spec-5188-55803-0850,A,249.00107,34.40729,20.38507,sdss,train
spec-1259-52931-0548,A,95.441372,1.3514797,38.60122,sdss,train
spec-2187-54270-0409,A,242.00494,53.66017,29.87994,sdss,train
spec-7339-57918-0828,A,214.13061,54.251539,44.91932,sdss,train
spec-0779-52342-0509,A,184.92176,62.613171,41.22506,sdss,train
spec-5477-56030-0100,A,223.71593,14.217867,5.994966,sdss,train
spec-2968-54585-0418,A,242.55842,18.939917,39.29906,sdss,train
spec-1648-53171-0550,A,227.03909,32.549877,37.57646,sdss,train
spec-2671-54141-0038,A,134.16594,10.72073,22.97646,sdss,train
spec-3466-54998-0608,A,241.29074,44.426761,36.8927,sdss,train
spec-1664-52973-0197,A,41.88969,-0.09021,11.87974,sdss,train
spec-2234-53823-0025,A,188.86792,29.317786,10.2853,sdss,train
spec-3933-55335-0864,A,234.61016,16.397811,9.009244,sdss,train
spec-2495-54175-0534,A,170.15674,20.154912,32.80504,sdss,train
spec-5064-55864-0705,A,331.87676,13.065907,9.199263,sdss,train
spec-1003-52641-0607,A,167.05808,7.9995328,16.70793,sdss,train
spec-3868-55360-0571,A,218.84632,32.141485,5.788379,sdss,train
spec-3387-54951-0445,A,223.2851,24.753866,35.04095,sdss,train
spec-1573-53226-0620,A,247.79054,25.372637,13.38538,sdss,train
spec-3233-54891-0081,A,172.18953,-2.2668269,35.24072,sdss,train
spec-2888-54529-0415,A,133.55752,3.746949,45.81017,sdss,train
spec-3252-54893-0016,A,185.67938,4.6979656,23.24935,sdss,train
spec-2783-54524-0407,A,207.69631,24.683953,13.33473,sdss,train
spec-3237-54883-0604,A,198.77908,60.630875,5.565197,sdss,train
spec-0357-51813-0454,A,260.0213,56.461687,25.12548,sdss,train
spec-5776-56010-0102,A,136.38391,22.373727,7.194156,sdss,train
spec-2193-53888-0076,A,262.32237,26.976313,13.89042,sdss,train
spec-4734-55646-0584,A,158.86106,3.589287,24.20238,sdss,train
spec-3210-54876-0584,A,43.708954,32.911373,37.27234,sdss,train
spec-2347-53757-0177,A,152.26668,25.860713,9.143585,sdss,train
spec-7612-56972-0157,A,346.01902,20.645124,25.28945,sdss,train
spec-8220-57432-0554,A,184.604,53.156403,11.34802,sdss,train
spec-3205-54848-0074,A,110.82355,39.061295,44.25933,sdss,train
spec-6018-56067-0942,A,218.77639,28.797465,41.87965,sdss,train
spec-1350-52786-0376,A,220.07482,39.446565,45.94243,sdss,train
spec-6114-56209-0740,A,349.53974,22.070697,16.12457,sdss,train
spec-1662-52970-0616,A,353.09525,53.50998,56.44155,sdss,train
spec-3226-54857-0615,A,123.62782,19.629404,33.98209,sdss,train
spec-0296-51665-0391,A,199.78664,-0.1369901,11.55676,sdss,train
spec-4726-55712-0826,A,237.69972,29.942595,15.4993,sdss,train
spec-5401-55949-0878,A,187.53063,10.599743,8.064715,sdss,train
spec-3145-54801-0146,A,352.87259,-10.259473,60.28651,sdss,train
spec-2070-53729-0504,A,55.966873,-6.005739,14.70183,sdss,train
spec-2101-53858-0585,A,206.24308,37.203976,21.9036,sdss,train
spec-1297-52963-0544,A,128.95419,7.0003954,43.86349,sdss,train
spec-3166-54830-0599,A,119.31231,29.775125,21.11683,sdss,train
spec-0432-51884-0199,A,115.07798,40.001598,42.8537,sdss,train
spec-1295-52934-0169,A,122.85859,5.5779638,21.16186,sdss,train
spec-2192-54232-0181,A,254.69944,39.410177,16.57667,sdss,train
spec-2936-54626-0116,A,231.92732,39.2018,16.45831,sdss,train
spec-3936-55302-0035,A,239.04477,20.882901,5.664685,sdss,train
spec-2065-53678-0463,A,29.670408,0.483571,20.48722,sdss,train
spec-0707-52177-0208,A,41.462184,-0.77944227,35.59163,sdss,train
spec-3406-54970-0269,A,222.00587,41.554947,59.47465,sdss,train
