basename,label,ra,dec,snr,resource,dataset
spec-58164-GAC093N22B1_sp12-249,A,94.122884,24.92199,82.65,lamost_low,train
spec-57387-GAC112N15B1_sp11-152,A,111.75488,17.273203,41.68,lamost_low,train
spec-57641-HD014347N555238B01_sp15-219,A,25.45722,57.101004,57.51,lamost_low,train
spec-55919-B5591903_sp02-097,A,38.714169,52.437204,24.37,lamost_low,train
spec-57486-HD160846N445605M01_sp04-093,A,242.512087,44.5317603,24.36,lamost_low,train
spec-57060-HD133738N334417V01_sp15-159,A,203.417698,35.011325,7.33,lamost_low,train
spec-55909-B90903_1_sp01-006,A,57.208972,48.145017,52.94,lamost_low,train
spec-57732-GAC061N46B2_sp01-209,A,61.477047,44.60487,10.67,lamost_low,train
spec-57051-HD053443N053939V01_sp13-065,A,85.71422333,5.60326694,344.0,lamost_low,train
spec-57724-HIP29425K201_sp13-049,A,95.5549821,23.5613051,290.89,lamost_low,train
spec-55938-GAC_100N17_V1_sp09-024,A,101.60565,17.698615,13.46,lamost_low,train
spec-56262-GAC078N47V2_sp04-245,A,79.724123,47.248822,26.26,lamost_low,train
spec-57787-GAC103N06B1_sp12-027,A,104.95492,8.4526794,71.73,lamost_low,train
spec-59588-GAC093N22B2_sp16-236,A,91.959506,25.139598,79.41,lamost_low,train
spec-56350-GAC089N28V1_sp09-184,A,90.658065,29.454056,115.12,lamost_low,train
spec-57478-HD133738N421203M01_sp06-047,A,206.5711859,42.0700798,27.22,lamost_low,train
spec-57330-HD070706N045438V01_sp05-067,A,106.325187,4.060795,185.51,lamost_low,train
spec-57759-HIP29425K201_sp16-207,A,91.1026205,24.9685286,88.76,lamost_low,train
spec-56322-GAC089N24V1_sp05-113,A,89.266051,23.549841,158.34,lamost_low,train
spec-56360-GAC097N28V1_sp04-139,A,97.360112,27.754354,23.51,lamost_low,train
spec-56342-GAC091N59V1_sp16-176,A,88.352686,60.83514,180.9,lamost_low,train
spec-56310-GAC078N51V2_sp04-161,A,77.696095,51.453911,98.23,lamost_low,train
spec-57097-HD094135N311640B01_sp15-188,A,145.206447,32.137703,46.37,lamost_low,train
spec-58175-HD070402N511709V02_sp01-149,A,105.94792222,49.54377028,90.75,lamost_low,train
spec-59165-TD064253N231249K01_sp15-165,A,99.9348818,24.4545416,200.79,lamost_low,train
spec-56435-HD143837N545111B01_sp14-128,A,216.688347,55.989676,6.75,lamost_low,train
spec-58816-HIP3550902_sp16-138,A,109.30426,8.9692379,57.61,lamost_low,train
spec-58872-HD103905N534005M02_sp07-186,A,162.7074733,52.3227977,6.83,lamost_low,train
spec-56299-GAC096N32B1_sp15-065,A,95.206223,33.304352,47.29,lamost_low,train
spec-58131-GAC071N55M1_sp16-189,A,69.054968,57.117899,20.57,lamost_low,train
spec-59640-TD061156N231225K01_sp16-232,A,92.0618782,25.4309053,541.99,lamost_low,train
spec-57651-HD005305N571308V01_sp15-139,A,13.53684,58.244387,209.2,lamost_low,train
spec-56343-GAC075N39V1_sp08-232,A,76.056242,39.273773,46.71,lamost_low,train
spec-59142-TD033722N181216K01_sp10-115,A,52.901068,17.557134,19.87,lamost_low,train
spec-56948-HD052351N362354V_sp03-053,A,79.32169778,36.43764556,364.24,lamost_low,train
spec-57790-GAC089N49B1_sp16-043,A,87.493417,51.692975,6.49,lamost_low,train
spec-55890-B9002_sp06-096,A,17.632754,29.507271,29.59,lamost_low,train
spec-56640-GAC064N42V3_sp01-023,A,64.984585,39.766205,24.04,lamost_low,train
spec-56287-VB053N42V2_sp03-208,A,52.01315,42.983842,31.53,lamost_low,train
spec-55862-B6212_sp01-125,A,98.046055,26.144522,54.76,lamost_low,train
spec-57882-HD143120N432256V02_sp08-205,A,218.996507,42.083395,160.64,lamost_low,train
spec-57166-HD180717N064205V01_sp04-118,A,272.0282214,6.4745328,9.94,lamost_low,train
spec-58174-HD150403N104406B01_sp02-206,A,224.575538,8.774038,38.7,lamost_low,train
spec-57173-KP190651N485531V02_sp15-106,A,287.0574,49.652111,142.08,lamost_low,train
spec-56394-HD132901N475049M01_sp04-220,A,202.6172,48.330241,35.73,lamost_low,train
spec-59578-TD061156N231225K01_sp10-105,A,91.2686724,22.5261639,81.95,lamost_low,train
spec-57032-GAC079N41B3_sp04-134,A,79.610651,40.735709,114.08,lamost_low,train
spec-56576-GAC094N30B1_sp11-193,A,94.233386,32.231756,91.04,lamost_low,train
spec-57173-KP190651N485531V02_sp14-142,A,284.33273,49.896538,9.23,lamost_low,train
spec-57779-HD031226N474333B01_sp08-165,A,48.803817,47.166423,65.2,lamost_low,train
spec-56661-GAC092N13V1_sp05-248,A,91.985566,12.595146,119.33,lamost_low,train
spec-57301-GAC_033209_B1_1_sp06-068,A,55.881242,42.51751,52.42,lamost_low,train
spec-57414-GAC064N42B1_sp15-043,A,64.834549,43.597161,85.09,lamost_low,train
spec-59232-TD062610N184524H01_sp06-152,A,98.7848776,17.9985739,214.35,lamost_low,train
spec-57822-HD095713N572505V02_sp15-145,A,149.467268,58.4558202,54.94,lamost_low,train
spec-55930-B5593003_sp11-223,A,62.837915,47.879181,10.37,lamost_low,train
spec-55999-GAC_112N06_V3_sp16-122,A,111.47298,8.5705879,9.65,lamost_low,train
spec-57466-HD150254N020528B02_sp10-052,A,223.983917,1.177247,52.86,lamost_low,train
spec-56982-GAC085N33B1_sp15-178,A,85.55006,34.059996,122.51,lamost_low,train
spec-55984-GAC_099N04_V4_sp14-062,A,98.055986,4.793575,146.18,lamost_low,train
spec-56782-VB179N03V2_sp06-211,A,181.32674,2.569342,52.01,lamost_low,train
spec-56389-HD172411N365522M01_sp15-229,A,260.334155,37.566249,64.52,lamost_low,train
spec-56653-GAC085N22M1_sp15-029,A,85.901373,24.010388,19.47,lamost_low,train
spec-56332-GAC109N31M1_sp02-197,A,107.42893,30.507481,11.1,lamost_low,train
spec-59581-HD113827N080803M01_sp03-112,A,173.3467113,8.5973013,14.55,lamost_low,train
spec-56667-GAC066N34B1_sp06-040,A,68.437286,33.955954,26.46,lamost_low,train
spec-56608-GAC116N20B2_sp08-147,A,117.26229,19.63716,25.4,lamost_low,train
spec-55954-GAC_056N46_V2_sp10-071,A,53.476405,45.401517,17.49,lamost_low,train
spec-57917-HD182218N073256V01_sp06-212,A,277.2666442,6.3952189,33.17,lamost_low,train
spec-56952-HD070013N000500V_sp15-070,A,104.187643,0.775096,137.59,lamost_low,train
spec-58902-KII045606N223435V01_sp12-073,A,74.8579586,24.5093383,69.63,lamost_low,train
spec-56630-GAC091N33M1_sp03-039,A,90.239716,33.218697,14.46,lamost_low,train
spec-59643-TD062610N184524H01_sp12-178,A,98.1766038,20.6964475,97.66,lamost_low,train
spec-56982-HD000408N565515V01_sp02-095,A,358.3262353,55.1800019,83.47,lamost_low,train
spec-57012-GAC100N17M1_sp03-083,A,99.273481,17.452282,14.92,lamost_low,train
spec-59226-GAC099N10B1_sp06-221,A,101.34289,9.720086,24.45,lamost_low,train
spec-56670-HD030004N551117V01_sp08-055,A,46.928657,54.685635,58.8,lamost_low,train
spec-57406-HD033226N460324V01_sp13-009,A,56.2824669,46.6103283,53.88,lamost_low,train
spec-57071-GAC084N35M1_sp09-185,A,85.986302,36.136783,62.86,lamost_low,train
spec-56739-GAC113N26B1_sp08-014,A,114.8931,26.032168,13.36,lamost_low,train
spec-56967-HD032218N312451V01_sp03-063,A,48.9541744,31.6240778,56.04,lamost_low,train
spec-57651-HD005305N571308V01_sp01-002,A,13.663932,54.795413,96.73,lamost_low,train
spec-59263-HD125855N172433M02_sp07-066,A,196.2218878,15.6607141,35.98,lamost_low,train
spec-57698-HD213312N533525B02_sp01-083,A,323.525327,51.484506,94.8,lamost_low,train
spec-57291-HD043958N532822V01_sp07-110,A,71.5057258,51.9793706,176.82,lamost_low,train
spec-58425-GAC084N47B1_sp03-112,A,82.162024,48.134691,60.11,lamost_low,train
spec-56700-GAC071N55V1_sp11-027,A,72.828805,57.965431,9.21,lamost_low,train
spec-59608-TD062610N184524H01_sp10-082,A,94.6138985,18.6124782,90.42,lamost_low,train
spec-59615-GAC110N55B1_sp11-167,A,109.72455,57.619563,32.76,lamost_low,train
spec-57732-HD101311N212511B01_sp09-160,A,153.57873,22.157305,88.74,lamost_low,train
spec-57488-HD080504N130705V01_sp13-200,A,123.5696283,14.0242289,88.13,lamost_low,train
spec-58099-HIP29425K201_sp12-184,A,94.6263083,24.9046194,167.68,lamost_low,train
