basename,label,dataset,snr
spec-2906-54577-0410,A0,train,77.38231
spec-2464-54272-0190,A0,train,19.66261
spec-3194-54833-0023,A0,train,14.24601
spec-1506-53003-0359,A0,train,13.47923
spec-2903-54581-0249,A0,train,18.19611
spec-2038-53327-0497,A0,train,62.38489
spec-0338-51694-0192,A0,train,10.66462
spec-1187-52708-0237,A0,train,23.3133
spec-3298-54924-0588,A0,train,48.47852
spec-3466-54998-0324,A0,train,30.47928
spec-2902-54629-0091,A0,train,63.11219
spec-3442-54983-0519,A0,train,28.27478
spec-3314-54970-0042,A0,train,13.27919
spec-2797-54616-0161,A0,train,41.25442
spec-1019-52707-0412,A0,train,34.15279
spec-1506-53003-0443,A0,train,19.31642
spec-0522-52024-0274,A0,train,18.05874
spec-1313-52790-0395,A0,train,11.96957
spec-2676-54179-0558,A0,train,51.98717
spec-0569-52264-0036,A0,train,67.8942
spec-3109-54833-0297,A0,train,13.93347
spec-1996-53436-0014,A0,train,15.3685
spec-0740-52263-0159,A0,train,18.5352
spec-3170-54907-0564,A0,train,16.03389
spec-2935-54652-0377,A0,train,11.30723
spec-0896-52592-0308,A0,train,22.10659
spec-1440-53084-0607,A0,train,27.39759
spec-3138-54740-0276,A0,train,60.13698
spec-1826-53499-0213,A0,train,49.96732
spec-1054-52516-0383,A0,train,12.03846
spec-0406-51900-0636,A0,train,10.22252
spec-0816-52379-0028,A0,train,18.10129
spec-1764-53467-0418,A0,train,10.16849
spec-2041-53387-0092,A0,train,32.21372
spec-3254-54889-0438,A0,train,13.95371
spec-1253-52974-0200,A0,train,38.15524
spec-2144-53770-0038,A0,train,40.55711
spec-1254-52972-0218,A0,train,40.08891
spec-2102-54115-0307,A0,train,31.61486
spec-2061-53711-0615,A0,train,27.1051
spec-3264-54889-0029,A0,train,62.34297
spec-2916-54507-0118,A0,train,32.07014
spec-1750-53358-0331,A0,train,45.66578
spec-2679-54368-0524,A0,train,32.16174
spec-0412-52235-0603,A0,train,10.32957
spec-1143-52592-0032,A0,train,54.19469
spec-2925-54584-0525,A0,train,47.91045
spec-1741-53052-0216,A0,train,43.396
spec-1576-53496-0148,A0,train,19.98883
spec-0371-52078-0609,A0,train,70.00984
spec-2327-53710-0094,A0,train,10.93803
spec-1045-52725-0530,A0,train,21.23394
spec-0366-52017-0397,A0,train,35.9935
spec-3428-54979-0455,A0,train,44.87384
spec-1174-52782-0020,A0,train,28.96902
spec-2551-54552-0344,A0,train,49.49186
spec-0719-52203-0202,A0,train,41.53923
spec-0371-52078-0498,A0,train,19.56795
spec-1907-53265-0509,A0,train,33.52797
spec-0659-52199-0367,A0,train,33.65033
spec-2708-54561-0170,A0,train,19.19
spec-2535-54632-0188,A0,train,50.41745
spec-2917-54556-0583,A0,train,24.29243
spec-1880-53262-0266,A0,train,34.24427
spec-1921-53317-0406,A0,train,29.27778
spec-1254-52972-0406,A0,train,46.43426
spec-2643-54208-0063,A0,train,16.81467
spec-2654-54231-0348,A0,train,42.33476
spec-2328-53728-0413,A0,train,10.84996
spec-2918-54554-0334,A0,train,28.52276
spec-2874-54561-0354,A0,train,31.30709
spec-1895-53242-0573,A0,train,28.53536
spec-2606-54154-0351,A0,train,49.84224
spec-3313-54999-0103,A0,train,27.32752
spec-0707-52177-0418,A0,train,44.76721
spec-0398-51789-0218,A0,train,15.28676
